dauReal_daumau,mauReal_daumau,predictionLoss_desinstalacoes,newinstalls_installs,ratings_ratings_reviews,daily_ratings_ratings_reviews,reviews_ratings_reviews,daily_reviews_ratings_reviews,category_BUSINESS,category_FINANCE,category_FOOD_AND_DRINK,category_OTHERS,category_SHOPPING,category_TRAVEL_AND_LOCAL
16664.0,287974.0,2863.0,1200.0,47504.0,9.0,25356.0,9.0,False,True,False,False,False,False
2834.0,37222.0,6942.0,547.0,200.0,5.0,107.0,0.0,False,True,False,False,False,False
13563.0,139100.0,9782.0,105.0,2248.0,2.0,1217.0,1.0,False,False,False,True,False,False
228049.0,1634580.0,12792.0,6854.0,239976.0,19.0,129253.0,22.0,False,True,False,False,False,False
40264.0,607572.0,10296.0,756.0,91876.0,14.0,17555.0,8.0,False,False,False,True,False,False
8223.0,179370.0,1933.0,326.0,7126.0,1.0,3949.0,3.0,False,True,False,False,False,False
50658.0,1444325.0,21683.0,2230.0,1475082.0,-35.0,375742.0,-29.0,False,False,False,True,False,False
44667.0,678081.0,5779.0,2092.0,83679.0,16.0,42077.0,9.0,False,False,False,False,True,False
107447.0,605688.0,2093.0,403.0,2536.0,1.0,1352.0,1.0,False,False,False,True,False,False
9178.0,444314.0,9896.0,477.0,176622.0,1.0,18311.0,5.0,False,False,False,True,False,False
8727.0,38642.0,1785.0,177.0,3569.0,1.0,1718.0,0.0,False,False,True,False,False,False
24072.0,158954.0,1913.0,68.0,2432.0,1.0,864.0,0.0,False,False,False,False,False,True
33807.0,490644.0,3874.0,1132.0,201401.0,37.0,47813.0,7.0,False,False,False,False,True,False
2444.0,23328.0,1546.0,240.0,4476.0,7.0,2772.0,4.0,True,False,False,False,False,False
22618.0,497189.0,4554.0,871.0,52665.0,1.0,1845.0,2.0,False,False,False,False,True,False
847493.0,7033633.0,16793.0,10128.0,810247.0,622.0,316558.0,73.0,False,True,False,False,False,False
160536.0,1737643.0,6595.0,5291.0,249571.0,124.0,42127.0,38.0,False,True,False,False,False,False
50451.0,736659.0,8607.0,791.0,200814.0,64.0,26378.0,18.0,False,False,False,False,True,False
174753.0,721779.0,2579.0,786.0,24028.0,6.0,9239.0,2.0,False,True,False,False,False,False
1321.0,14988.0,2093.0,102.0,536.0,0.0,331.0,0.0,False,False,False,False,False,True
154896.0,1806948.0,16453.0,8808.0,141864.0,51.0,43281.0,8.0,False,False,False,False,True,False
15510.0,148869.0,2289.0,1218.0,41633.0,8.0,15421.0,5.0,False,True,False,False,False,False
3447.0,107351.0,9140.0,751.0,1458.0,4.0,276.0,2.0,False,False,False,True,False,False
3897.0,79821.0,1638.0,134.0,10012.0,6.0,1145.0,2.0,False,True,False,False,False,False
9318.0,194478.0,6341.0,1708.0,9903.0,0.0,4344.0,1.0,False,True,False,False,False,False
48634.0,595117.0,4450.0,3094.0,198997.0,9.0,66228.0,4.0,False,False,False,False,True,False
6360.0,76404.0,549.0,365.0,22252.0,2.0,12705.0,2.0,True,False,False,False,False,False
326773.0,21613275.0,1371.0,529.0,12091.0,0.0,6565.0,2.0,True,False,False,False,False,False
7236.0,75860.0,6068.0,3102.0,299396.0,13.0,73055.0,2.0,False,True,False,False,False,False
78253.0,1326216.0,27138.0,3533.0,554215.0,13.0,136064.0,24.0,False,False,False,True,False,False
7938.0,68700.0,1782.0,384.0,4738.0,1.0,3219.0,0.0,False,True,False,False,False,False
265487.0,542837.0,7120.0,0.0,52712.0,3.0,19248.0,4.0,False,False,False,True,False,False
777.0,5560.0,1932.0,39.0,1478.0,0.0,774.0,0.0,False,False,False,True,False,False
2809.0,34421.0,1463.0,100.0,8327.0,1.0,4351.0,1.0,False,True,False,False,False,False
20559.0,254350.0,8554.0,619.0,34279.0,3.0,14602.0,4.0,True,False,False,False,False,False
15223.0,111971.0,1516.0,1030.0,36075.0,2.0,15277.0,2.0,False,True,False,False,False,False
49103.0,417049.0,3824.0,1278.0,45714.0,5.0,8850.0,5.0,False,False,False,True,False,False
153064.0,1773743.0,12659.0,5104.0,202922.0,14.0,73209.0,8.0,False,False,False,False,True,False
39290.0,165229.0,1591.0,271.0,24265.0,10.0,10716.0,21.0,False,True,False,False,False,False
239768.0,1934660.0,4497.0,3136.0,197329.0,187.0,79637.0,25.0,False,True,False,False,False,False
10171.0,78342.0,1386.0,250.0,11125.0,1.0,6798.0,0.0,False,True,False,False,False,False
17139.0,472638.0,4499.0,3393.0,97924.0,7.0,27241.0,23.0,False,False,False,False,True,False
87844.0,182490.0,11209.0,177.0,89091.0,-1.0,33870.0,-1.0,False,False,False,True,False,False
4765296.0,21926370.0,125654.0,51178.0,2113445.0,78.0,954725.0,25.0,False,True,False,False,False,False
6067.0,158905.0,5393.0,639.0,97735.0,73.0,6464.0,15.0,False,False,False,True,False,False
1012.0,5874.0,1400.0,16.0,11432.0,1.0,7076.0,2.0,False,False,False,True,False,False
9391.0,239493.0,5611.0,962.0,287872.0,1.0,158760.0,0.0,False,True,False,False,False,False
11431.0,169454.0,4453.0,546.0,139163.0,40.0,14219.0,5.0,False,False,False,False,True,False
611934.0,10237530.0,112183.0,10890.0,893104.0,191.0,359446.0,120.0,True,False,False,False,False,False
8651.0,76160.0,7152.0,178.0,691.0,0.0,401.0,1.0,False,False,False,False,False,True
902.0,12843.0,1897.0,77.0,1724.0,0.0,503.0,2.0,False,True,False,False,False,False
9976.0,184014.0,3006.0,1218.0,15353.0,20.0,3296.0,18.0,False,True,False,False,False,False
